,0,1
290,688589,力合微
291,600807,济南高新
292,603636,南威软件
293,600800,天津磁卡
294,601336,新华保险
295,600846,同济科技
296,603909,合诚股份
297,600879,航天电子
298,605398,新炬网络
299,603477,巨星农牧
300,601398,工商银行
301,600281,太化股份
302,603816,顾家家居
303,603369,今世缘
304,600119,ST长投
305,603595,东尼电子
306,601003,柳钢股份
307,603181,皇马科技
308,600197,伊力特
309,600128,弘业股份
310,600028,中国石化
311,600750,江中药业
312,600546,山煤国际
313,601168,西部矿业
314,600312,平高电气
315,600272,开开实业
316,600382,广东明珠
317,688196,卓越新能
318,600239,云南城投
319,603345,安井食品
320,603808,歌力思
321,600933,爱柯迪
322,603267,鸿远电子
323,603989,艾华集团
324,600106,重庆路桥
325,601816,京沪高铁
326,601500,通用股份
327,600131,国网信通
328,603938,三孚股份
329,600376,首开股份
330,601727,上海电气
331,601966,玲珑轮胎
332,600229,城市传媒
333,603779,ST威龙
334,688678,福立旺
335,601166,兴业银行
336,688521,芯原股份-U
337,600360,华微电子
338,601288,农业银行
339,601988,中国银行
340,600623,华谊集团
341,600872,中炬高新
342,600021,上海电力
343,600089,特变电工
344,600156,华升股份
345,688399,硕世生物
346,605136,丽人丽妆
347,600817,ST宏盛
348,600300,维维股份
349,688393,安必平
350,603896,寿仙谷
351,603038,华立股份
352,605168,三人行
353,601916,浙商银行
354,600782,新钢股份
355,600693,东百集团
356,603365,水星家纺
357,603877,太平鸟
358,603323,苏农银行
359,603607,京华激光
360,601100,恒立液压
361,600500,中化国际
362,600649,城投控股
363,600900,长江电力
364,603535,嘉诚国际
365,600000,浦发银行
366,603018,华设集团
367,688221,前沿生物-U
368,601865,福莱特
369,601567,三星医疗
370,601298,青岛港
371,600015,华夏银行
372,603866,桃李面包
373,600774,汉商集团
374,601995,中金公司
375,603368,柳药股份
376,688289,圣湘生物
377,603315,福鞍股份
378,600697,欧亚集团
379,603789,星光农机
380,603859,能科股份
381,688229,博睿数据
382,688696,极米科技
383,688687,凯因科技
384,688677,海泰新光
385,688665,四方光电
386,688619,罗普特
387,688183,生益电子
388,688079,美迪凯
389,688070,纵横股份
390,688059,华锐精密
391,605337,李子园
392,605303,园林股份
393,605298,必得科技
394,605268,王力安防
395,605133,嵘泰股份
396,605081,太和水
397,605077,华康股份
398,605060,联德股份
399,603969,银龙股份
400,603878,武进不锈
401,603876,鼎胜新材
402,603800,道森股份
403,603663,三祥新材
404,603530,神马电力
405,603335,迪生力
406,603322,超讯通信
407,603118,共进股份
408,603099,长白山
409,603028,赛福天
410,603003,龙宇燃油
411,601996,丰林集团
412,601991,大唐发电
413,601975,招商南油
414,601963,重庆银行
415,601857,中国石油
416,601558,退市锐电
417,601390,中国中铁
418,601299,中国北车
419,601268,*ST二重
420,601258,ST庞大
421,601077,渝农商行
422,601011,宝泰隆
423,600991,广汽长丰
424,600916,中国黄金
425,600899,*ST信联
426,600891,*ST秋林
427,600878,*ST北科
428,600852,*ST中川
429,600849,上药转换
430,600842,中西药业
431,600840,新湖创业
432,600832,东方明珠
433,600813,ST鞍一工
434,600806,退市昆机
435,600799,*ST龙科
436,600788,*ST达曼
437,600786,东方锅炉
438,600772,S*ST龙昌
439,600762,S*ST金荔
440,600752,*ST哈慈
441,600747,退市大控
442,600709,ST生态
443,600701,*ST工新
444,600700,*ST数码
445,600680,*ST上普
446,600677,*ST航通
447,600672,*ST华圣
