,0,1
288,000521,长虹美菱
289,300761,立华股份
290,300247,融捷健康
291,000046,泛海控股
292,300052,中青宝
293,002566,益盛药业
294,002899,英派斯
295,002234,民和股份
296,003009,中天火箭
297,300119,瑞普生物
298,300297,蓝盾股份
299,002135,东南网架
300,000978,桂林旅游
301,002880,卫光生物
302,300557,理工光科
303,300725,药石科技
304,002374,丽鹏股份
305,002975,博杰股份
306,002574,明牌珠宝
307,002625,光启技术
308,300498,温氏股份
309,300878,维康药业
310,003023,彩虹集团
311,000516,国际医学
312,000001,平安银行
313,002590,万安科技
314,002137,麦达数字
315,000719,中原传媒
316,000429,粤高速Ａ
317,002996,顺博合金
318,000582,北部湾港
319,000687,*ST华讯
320,000078,海王生物
321,000789,万年青
322,000952,广济药业
323,002485,希努尔
324,000631,顺发恒业
325,001979,招商蛇口
326,300742,越博动力
327,000096,广聚能源
328,300466,赛摩智能
329,000519,中兵红箭
330,000655,金岭矿业
331,000006,深振业Ａ
332,000806,*ST银河
333,002458,益生股份
334,300091,金通灵
335,300856,科思股份
336,000888,峨眉山Ａ
337,300109,新开源
338,002019,亿帆医药
339,300042,朗科科技
340,000011,深物业A
341,000809,铁岭新城
342,002498,汉缆股份
343,000889,中嘉博创
344,300640,德艺文创
345,002700,ST浩源
346,000701,厦门信达
347,000961,中南建设
348,300813,泰林生物
349,002385,大北农
350,300473,德尔股份
351,000736,中交地产
352,000926,福星股份
353,002461,珠江啤酒
354,000965,天保基建
355,002379,宏创控股
356,000921,海信家电
357,000530,冰山冷热
358,002946,新乳业
359,000998,隆平高科
360,002244,滨江集团
361,002312,三泰控股
362,000413,东旭光电
363,002133,广宇集团
364,300510,金冠股份
365,000990,诚志股份
366,300505,川金诺
367,002290,ST禾盛
368,003015,日久光电
369,002963,豪尔赛
370,002725,跃岭股份
371,002932,明德生物
372,300686,智动力
373,300592,华凯创意
374,002938,鹏鼎控股
375,002475,立讯精密
376,000793,华闻集团
377,000038,深大通
378,002346,柘中股份
379,000917,电广传媒
380,300234,开尔新材
381,002620,瑞和股份
382,002180,纳思达
383,300351,永贵电器
384,002703,浙江世宝
385,003027,同兴环保
386,300275,梅安森
387,300583,赛托生物
388,000790,华神科技
389,000420,吉林化纤
390,002308,威创股份
391,000419,通程控股
392,000030,富奥股份
393,300134,大富科技
394,002527,新时达
395,300601,康泰生物
396,300025,华星创业
397,002252,上海莱士
398,300491,通合科技
399,000836,富通信息
400,002747,埃斯顿
401,000061,农 产 品
402,000514,渝 开 发
403,000982,*ST 中绒
404,000885,城发环境
405,002315,焦点科技
406,002901,大博医疗
407,002505,鹏都农牧
408,300451,创业慧康
409,002709,天赐材料
410,000333,美的集团
411,000545,金浦钛业
412,002364,中恒电气
413,002339,积成电子
414,002546,新联电子
415,000720,新能泰山
416,000571,*ST大洲
417,002800,天顺股份
418,300040,九洲集团
419,002492,恒基达鑫
420,000401,冀东水泥
421,002262,恩华药业
422,300128,锦富技术
423,002708,光洋股份
424,002831,裕同科技
425,000019,深粮控股
426,000603,盛达资源
427,003004,声迅股份
428,000627,天茂集团
429,000617,中油资本
430,002336,ST人乐
431,300495,美尚生态
432,002659,凯文教育
433,300404,博济医药
434,002354,*ST天娱
435,300795,米奥会展
436,300204,舒泰神
437,002510,天汽模
438,300702,天宇股份
439,300325,ST德威
440,002264,新 华 都
441,300006,莱美药业
442,002713,东易日盛
443,000518,四环生物
444,300912,凯龙高科
445,300430,诚益通
446,300572,安车检测
447,002468,申通快递
448,000638,万方发展
449,000900,现代投资
450,002238,天威视讯
451,000027,深圳能源
452,300771,智莱科技
453,300266,兴源环境
454,002717,岭南股份
455,000755,山西路桥
456,000402,金 融 街
457,002847,盐津铺子
458,002063,远光软件
459,300562,乐心医疗
460,002718,友邦吊顶
461,000679,*ST友谊
462,300501,海顺新材
463,000410,*ST沈机
464,002882,金龙羽
465,002849,威星智能
